confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	Gavin Hood	is	a South African filmmaker , screenwriter , producer and actor			Gavin Hood is a South African filmmaker , screenwriter , producer and actor , best known for writing and directing the Academy Award-winning Foreign Language Film `` Tsotsi '' .		
1.0	a South African filmmaker , screenwriter , producer and actor	best known	for writing and directing the Academy Award-winning Foreign Language Film `` Tsotsi			Gavin Hood is a South African filmmaker , screenwriter , producer and actor , best known for writing and directing the Academy Award-winning Foreign Language Film `` Tsotsi '' .		
1.0	George Bluth Sr	patriarch of	the Bluth family			George Bluth Sr. , patriarch of the Bluth family , is the founder and former CEO of the Bluth Company which markets and builds mini-mansions among many other activities .		
1.0	George Bluth Sr	is	the founder and former CEO of the Bluth Company			George Bluth Sr. , patriarch of the Bluth family , is the founder and former CEO of the Bluth Company which markets and builds mini-mansions among many other activities .		
1.0	the Bluth Company	builds	mini-mansions among many other activities			George Bluth Sr. , patriarch of the Bluth family , is the founder and former CEO of the Bluth Company which markets and builds mini-mansions among many other activities .		
1.0	Godzilla and Battra	battled	on the ocean floor , until they caused a rift			Godzilla and Battra battled on the ocean floor , until they caused a rift to open between tectonic plates .		
1.0	they	caused	a rift to open between tectonic plates			Godzilla and Battra battled on the ocean floor , until they caused a rift to open between tectonic plates .		
1.0	Good 1H NMR spectra	can be acquired	with 16 repeats			Good 1H NMR spectra can be acquired with 16 repeats , which takes only minutes .		
1.0	16 repeats	takes	only minutes			Good 1H NMR spectra can be acquired with 16 repeats , which takes only minutes .		
1.0	an Alpha course to be accessible to anyone	to be accessible to anyone who would like	accessible to anyone who would like to attend the course			HTB 's aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .		
1.0	HTB 's aim	is	for an Alpha course to be accessible to anyone			HTB 's aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .		
1.0	HTB	seeks	in this way HTB seeks to spread the teachings of Christianity			HTB 's aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .		
1.0	anyone	to	the			HTB 's aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .		
1.0	Hapoel Lod	played	in the top division during the 1960s and 1980s			Hapoel Lod played in the top division during the 1960s and 1980s , and won the State Cup in 1984 .		
1.0	Hapoel Lod	won	the State Cup in 1984			Hapoel Lod played in the top division during the 1960s and 1980s , and won the State Cup in 1984 .		
1.0	Fr	directed	to found a monastery of his order in the United States in 1873			Having been directed to found a monastery of his order in the United States in 1873 , Fr .		
1.0	Hawker Pacific Aerospace	is	a MRO-Service company			Hawker Pacific Aerospace is a MRO-Service company which offers landing gear and hydraulic MRO services for all major aircraft types .		
1.0	a MRO-Service company	offers	landing gear and hydraulic MRO services for all major aircraft types			Hawker Pacific Aerospace is a MRO-Service company which offers landing gear and hydraulic MRO services for all major aircraft types .		
1.0	He	possesses	enhanced senses and can track people for great distances			He also possesses enhanced senses and can track people for great distances over open terrain and his feet are sensitive enough to detect electronic signals through solid walls and floors .		
1.0	He	took	124 wickets , with 7 for 39			He also took 124 wickets , with 7 for 39 and 6 for 44 against Sargodha in 1962-63 his best bowling figures .		
1.0	He	took	124 wickets , with 7 for 39 and 6 for 44 against Sargodha in 1962-63 his best bowling			He also took 124 wickets , with 7 for 39 and 6 for 44 against Sargodha in 1962-63 his best bowling figures .		
1.0	He	appeared	in that game alongside his Arsenal midfield colleague Brian Marwood			He appeared in that game alongside his Arsenal midfield colleague Brian Marwood , who had joined them from Sheffield Wednesday eight months earlier .		
1.0	his Arsenal midfield colleague Brian Marwood	had joined	them from Sheffield Wednesday eight months earlier			He appeared in that game alongside his Arsenal midfield colleague Brian Marwood , who had joined them from Sheffield Wednesday eight months earlier .		
1.0	He	defines	Wild Cards as ` Low Probability , High Impact events			He defines Wild Cards as ` Low Probability , High Impact events that , were they to occur , would severely impact the human condition ' .		
1.0	High Impact events	would severely impact	the human condition			He defines Wild Cards as ` Low Probability , High Impact events that , were they to occur , would severely impact the human condition ' .		
1.0	a group of Neo Arcadians	surround	him			He finds himself in a desert as a group of Neo Arcadians surround him , ending the game .		
1.0	He	finds	himself in a desert as a group of Neo Arcadians surround him			He finds himself in a desert as a group of Neo Arcadians surround him , ending the game .		
